cohort	patient	context	gene	target_state	metric	target_value	strongest_alternative_state	strongest_alternative_value	target_minus_strongest_alternative	target_n_cells
GSE152048	BC10	lung_metastasis	ACKR4	Osteoclast	pct_positive	5.6390977443609	Pericyte	3.80228136882129	1.8368163755396094	266
GSE152048	BC10	lung_metastasis	ACKR4	Osteoclast	mean_log1p_cp10k	0.0748199830602615	Pericyte	0.0631171373671482	0.011702845693113292	266
GSE152048	BC10	lung_metastasis	CCL13	Myeloid	pct_positive	1.4037985136251	Pericyte	0.760456273764259	0.6433422398608412	1211
GSE152048	BC10	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	0.0266959601816857	Pericyte	0.0147649928036771	0.011930967378008599	1211
GSE152048	BC17	lung_metastasis	ACKR4	Osteoclast	pct_positive	5.42635658914729	Myeloid	0.711743772241993	4.714612816905297	129
GSE152048	BC17	lung_metastasis	ACKR4	Osteoclast	mean_log1p_cp10k	0.0279955469530434	Fibroblast_MSC	0.00189159083565	0.0261039561173934	129
GSE152048	BC17	lung_metastasis	CCL13	Myeloid	pct_positive	5.33807829181495	Fibroblast_MSC	0.746500777604977	4.591577514209973	281
GSE152048	BC17	lung_metastasis	CCL13	Myeloid	mean_log1p_cp10k	0.0776186389895499	Fibroblast_MSC	0.0056048453561305	0.0720137936334194	281
GSE152048	BC16	primary	ACKR4	Osteoclast	pct_positive	2.71493212669683	Fibroblast_MSC	0.382409177820268	2.332522948876562	663
GSE152048	BC16	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0186568494990636	Fibroblast_MSC	0.0029137253601528	0.0157431241389108	663
GSE152048	BC16	primary	CCL13	Myeloid	pct_positive	2.50681198910082	Endothelial	0.255754475703325	2.2510575133974946	3670
GSE152048	BC16	primary	CCL13	Myeloid	mean_log1p_cp10k	0.0218323828207564	Endothelial	0.0022255316410726	0.0196068511796838	3670
GSE152048	BC2	primary	ACKR4	Osteoclast	pct_positive	0.0	Endothelial	0.0	0.0	373
GSE152048	BC2	primary	ACKR4	Osteoclast	mean_log1p_cp10k	0.0	Endothelial	0.0	0.0	373
GSE152048	BC2	primary	CCL13	Myeloid	pct_positive	7.4235807860262	Pericyte	4.33333333333333	3.0902474526928696	2519
GSE152048	BC2	primary	CCL13	Myeloid	mean_log1p_cp10k	0.196684692756161	Pericyte	0.101769544767146	0.09491514798901499	2519
